missing_rate,Scenario,seed,Model,TP,FP,FN,Precision,Recall,F1,FPR,n_det,false_alarm_before_onset,first_det_after_onset
0.1,Sudden Drift,2,Evolving,13,45,26,0.22413793103448276,0.3333333333333333,0.268041237113402,0.022947475777664456,1,0,1183.0
0.1,Sudden Drift,3,Static,18,101,21,0.15126050420168066,0.46153846153846156,0.22784810126582278,0.051504334523202445,1,0,1183.0
0.1,Sudden Drift,3,Evolving,12,46,27,0.20689655172413793,0.3076923076923077,0.24742268041237114,0.023457419683834777,1,0,1183.0
0.1,Sudden Drift,4,Static,17,102,22,0.14285714285714285,0.4358974358974359,0.21518987341772156,0.05201427842937277,1,0,1183.0
0.1,Sudden Drift,4,Evolving,11,52,28,0.1746031746031746,0.28205128205128205,0.2156862745098039,0.026517083120856707,1,0,1183.0
0.1,Gradual Drift,0,Static,16,98,23,0.14035087719298245,0.41025641025641024,0.2091503267973856,0.049974502804691484,1,0,1247.0
0.1,Gradual Drift,0,Evolving,12,49,27,0.19672131147540983,0.3076923076923077,0.24,0.024987251402345742,1,0,1247.0
0.1,Gradual Drift,1,Static,16,100,23,0.13793103448275862,0.41025641025641024,0.20645161290322583,0.05099439061703213,1,0,1247.0
0.1,Gradual Drift,1,Evolving,14,56,25,0.2,0.358974358974359,0.25688073394495414,0.02855685874553799,1,0,1247.0
0.1,Gradual Drift,2,Static,17,105,22,0.13934426229508196,0.4358974358974359,0.21118012422360244,0.05354411014788373,1,0,1311.0
0.1,Gradual Drift,2,Evolving,13,60,26,0.1780821917808219,0.3333333333333333,0.23214285714285715,0.030596634370219276,1,0,1311.0
0.1,Gradual Drift,3,Static,18,98,21,0.15517241379310345,0.46153846153846156,0.23225806451612904,0.049974502804691484,1,0,1311.0
0.1,Gradual Drift,3,Evolving,14,57,25,0.19718309859154928,0.358974358974359,0.2545454545454545,0.02906680265170831,1,0,1311.0
0.1,Gradual Drift,4,Static,17,101,22,0.1440677966101695,0.4358974358974359,0.21656050955414013,0.051504334523202445,1,0,1247.0
0.1,Gradual Drift,4,Evolving,12,57,27,0.17391304347826086,0.3076923076923077,0.2222222222222222,0.02906680265170831,1,0,1247.0
0.2,Control,0,Static,10,16,29,0.38461538461538464,0.2564102564102564,0.3076923076923077,0.00815910249872514,0,0,
0.2,Control,0,Evolving,10,16,29,0.38461538461538464,0.2564102564102564,0.3076923076923077,0.00815910249872514,0,0,
0.2,Control,1,Static,11,24,28,0.3142857142857143,0.28205128205128205,0.29729729729729726,0.01223865374808771,0,0,
0.2,Control,1,Evolving,11,24,28,0.3142857142857143,0.28205128205128205,0.29729729729729726,0.01223865374808771,0,0,
0.2,Control,2,Static,10,26,29,0.2777777777777778,0.2564102564102564,0.26666666666666666,0.013258541560428353,0,0,
0.2,Control,2,Evolving,10,26,29,0.2777777777777778,0.2564102564102564,0.26666666666666666,0.013258541560428353,0,0,
0.2,Control,3,Static,9,20,30,0.3103448275862069,0.23076923076923078,0.2647058823529412,0.010198878123406425,0,0,
0.2,Control,3,Evolving,9,20,30,0.3103448275862069,0.23076923076923078,0.2647058823529412,0.010198878123406425,0,0,
0.2,Control,4,Static,8,26,31,0.23529411764705882,0.20512820512820512,0.2191780821917808,0.013258541560428353,0,0,
0.2,Control,4,Evolving,8,26,31,0.23529411764705882,0.20512820512820512,0.2191780821917808,0.013258541560428353,0,0,
0.2,Sudden Drift,0,Static,16,89,23,0.1523809523809524,0.41025641025641024,0.2222222222222222,0.04538500764915859,1,0,1151.0
0.2,Sudden Drift,0,Evolving,12,34,27,0.2608695652173913,0.3076923076923077,0.2823529411764706,0.017338092809790925,1,0,1151.0
0.2,Sudden Drift,1,Static,16,88,23,0.15384615384615385,0.41025641025641024,0.22377622377622378,0.04487506374298827,1,0,1183.0
0.2,Sudden Drift,1,Evolving,14,47,25,0.22950819672131148,0.358974358974359,0.27999999999999997,0.0239673635900051,1,0,1183.0
0.2,Sudden Drift,2,Static,16,98,23,0.14035087719298245,0.41025641025641024,0.2091503267973856,0.049974502804691484,1,0,1183.0
0.2,Sudden Drift,2,Evolving,13,44,26,0.22807017543859648,0.3333333333333333,0.2708333333333333,0.022437531871494134,1,0,1183.0
0.2,Sudden Drift,3,Static,18,100,21,0.15254237288135594,0.46153846153846156,0.22929936305732485,0.05099439061703213,1,0,1183.0
0.2,Sudden Drift,3,Evolving,12,47,27,0.2033898305084746,0.3076923076923077,0.24489795918367346,0.0239673635900051,1,0,1183.0
0.2,Sudden Drift,4,Static,15,90,24,0.14285714285714285,0.38461538461538464,0.20833333333333331,0.04589495155532891,1,0,1183.0
